selection,sample_id,source_name,category,task_profile,chosen_candidate,predicted_score,semantic_score,calibrated_score,coverage_floor,coverage_gate_mode,coverage_gate_baseline_candidate,coverage_gate_baseline_coverage,coverage_gate_baseline_jump,coverage_gate_jump_gain,coverage_gate_loss_slack,oracle_score,quality_level,unified_loss,jump_count,trim_count,off_mask_stitch_length_mm,visible_connector_count,coverage_ratio,stitch_precision_ratio,risk_flags,risk_flag_count,risk_score,needs_review
public_low_jump,qd_001,QuickDraw,cat,low_jump,mask_fill_edgewalk_nearestrow_rows16_p40,5.60248898,0.02540117,0.04786106,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_rows16_p40,0.999605,10.0,0.0,,0.12813765,excellent,0.09974865,10,1,0.4714,0,0.999605,0.51074,low_precision,1,0.28770565,True
public_low_jump,qd_004,QuickDraw,flower,low_jump,skeleton_c30_m20,-8.08366206,0.08212623,0.0739136,0.85,safe_coverage,skeleton_c30_m20,0.885724,9.0,0.0,,0.07951266,excellent,0.07485846,9,0,0.0,0,0.885724,0.668972,low_coverage|low_precision,2,0.25625346,True
public_low_jump,ocp_001,Openclipart,flower,low_jump,mask_fill_edgewalk_nearestrow_rows16_p40,-2.58245016,0.05732686,0.08159418,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_rows16_p40,0.998209,6.0,0.0,,0.09693779,pass,0.09693779,6,0,2.0983,0,0.998209,0.752954,off_mask,1,0.24588679,True
public_low_jump,qd_003,QuickDraw,fish,low_jump,mask_fill_edgewalk_nearestrow_safeadt_t2m5_r055_a64_rows16_p40,1.45433691,0.02,0.08466667,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_safeadt_t2m5_r055_a64_rows16_p40,1.0,6.0,0.0,,0.10774786,excellent,0.04986571,6,0,0.0,0,1.0,0.314119,low_precision,1,0.24483596,True
public_low_jump,qd_006,QuickDraw,bird,low_jump,skeleton_c30_m8,-8.51716091,0.01962384,0.01766146,0.85,safe_coverage,skeleton_c30_m8,0.957422,9.0,0.0,,0.08259368,excellent,0.08144543,9,1,0.0,0,0.957422,0.692345,low_precision,1,0.20385918,True
public_low_jump,ocp_010,Openclipart,thought_bubble,low_jump,auto_evalrepair_r10_c20,-22.27725887,0.06110809,0.06268959,0.85,benefit_tradeoff,mask_fill_edgewalk_nearestrow_inset2_rows16_p40,0.996579,6.0,5.0,-0.04765725,0.0324356,excellent,0.008,1,0,0.0,0,0.688911,0.988028,low_coverage,1,0.1695445,True
public_low_jump,omj_004,OpenMoji,fish,low_jump,mask_fill_edgewalk_nearestrow_inset2_rows16_p40,-23.75780535,0.04587287,0.04128558,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_inset2_rows16_p40,0.997043,3.0,0.0,,0.04876926,excellent,0.04876926,3,0,1.075,0,0.997043,0.950702,off_mask,1,0.14901926,True
public_low_jump,omj_003,OpenMoji,butterfly,low_jump,mask_fill_edgewalk_rows16_p40,-9.2849752,0.22471389,0.21762712,0.85,safe_coverage,mask_fill_edgewalk_rows16_p40,1.0,9.0,0.0,,0.08646574,excellent,0.08646574,9,2,0.0,0,1.0,0.896875,,0,0.14846574,False
public_low_jump,txt_005,Rendered text,HELLO,low_jump,mask_fill_edgewalk_nearestrow_safeadt_t2m5_r055_a64_rows16_p40,-7.71291803,0.02,0.05646154,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_safeadt_t2m5_r055_a64_rows16_p40,1.0,4.0,0.0,,0.04897519,excellent,0.03295144,4,0,0.0,0,1.0,0.593175,low_precision,1,0.14615769,True
public_low_jump,qd_002,QuickDraw,dog,low_jump,mask_fill_edgewalk_nearestrow_inset1_rows16_p40,-10.19652023,0.00994232,0.01728142,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_inset1_rows16_p40,0.997816,4.0,0.0,,0.04827669,excellent,0.03336654,4,0,0.0,0,0.997816,0.600599,low_precision,1,0.14471679,True
public_low_jump,omj_001,OpenMoji,heart,low_jump,auto_hybrid_skeleton_c12,-15.5442937,0.21524008,0.20910069,0.85,safe_coverage,auto_hybrid_skeleton_c12,0.955519,0.0,0.0,,0.054,pass,0.054,0,9,0.0,0,0.955519,0.917291,high_trim,1,0.14,True
public_low_jump,omj_007,OpenMoji,ribbon,low_jump,mask_fill_edgewalk_nearestrow_rows16_p40,-9.85035427,0.17305437,0.1724156,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_rows16_p40,1.0,9.0,0.0,,0.08082922,excellent,0.08082922,9,1,0.0,0,1.0,0.891565,,0,0.13882922,False
public_low_jump,omj_005,OpenMoji,sun,low_jump,mask_fill_edgewalk_nearestrow_safeadt_t2m5_r055_a64_rows16_p40,-10.68986116,0.49194869,0.47911746,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_safeadt_t2m5_r055_a64_rows16_p40,0.998635,9.0,0.0,,0.08080196,excellent,0.08080196,9,1,0.0,0,0.998635,0.916461,,0,0.13880196,False
public_low_jump,ocp_004,Openclipart,koi_fish,low_jump,mask_fill_edgewalk_nearestrow_inset1_rows16_p40,-13.79098736,0.03882743,0.04327802,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_inset1_rows16_p40,0.998581,6.0,0.0,,0.06662868,excellent,0.06662868,6,1,0.4955,0,0.998581,0.870697,,0,0.12149368,False
public_low_jump,omj_008,OpenMoji,paw_prints,low_jump,mask_fill_edgewalk_nearestrow_inset1_rows16_p40,-13.38656492,0.17649953,0.16794049,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_inset1_rows16_p40,0.99951,6.0,0.0,,0.06088992,excellent,0.06088992,6,0,0.4955,0,0.99951,0.814631,,0,0.11175492,False
public_low_jump,qd_008,QuickDraw,star,low_jump,mask_fill_edgewalk_nearestrow_inset2_rows16_p40,-17.0471165,0.02328077,0.02095269,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_inset2_rows16_p40,0.990681,4.0,0.0,,0.03308916,excellent,0.03308916,4,0,0.0,0,0.990681,0.733626,low_precision,1,0.11118266,True
public_low_jump,txt_004,Rendered text,2026,low_jump,mask_fill_edgewalk_nearestrow_rows16_p40,-11.51442411,0.01393771,0.02087727,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_rows16_p40,1.0,3.0,0.0,,0.0246597,excellent,0.0246597,3,0,0.0,0,1.0,0.709028,low_precision,1,0.1029027,True
public_low_jump,qd_005,QuickDraw,bicycle,low_jump,skeleton_c30_m4,-19.13697877,0.01020591,0.00918532,0.85,safe_coverage,skeleton_c30_m4,0.989125,2.0,0.0,,0.02216811,excellent,0.01639641,2,0,0.0,0,0.989125,0.661522,low_precision,1,0.10051591,True
public_low_jump,omj_009,OpenMoji,lady_beetle,low_jump,mask_fill_edgewalk_nearestrow_inset2_rows16_p40,-22.47386362,0.01559902,0.01403912,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_inset2_rows16_p40,0.994021,6.0,0.0,,0.05602895,excellent,0.05602895,6,1,0.0,0,0.994021,0.927864,,0,0.09602895,False
public_low_jump,ocp_006,Openclipart,butterfly_2,low_jump,mask_fill_edgewalk_nearestrow_safeadt_t2m5_r055_a64_rows16_p40,-15.74441792,0.01713414,0.02375406,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_safeadt_t2m5_r055_a64_rows16_p40,0.988768,3.0,0.0,,0.0459051,excellent,0.0459051,3,0,0.9428,0,0.988768,0.92991,,0,0.0921891,False
public_low_jump,txt_002,Rendered text,DST,low_jump,mask_fill_edgewalk_nearestrow_rows16_p40,-13.05064999,0.0124284,0.05733941,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_rows16_p40,1.0,2.0,0.0,,0.01619731,excellent,0.01619731,2,0,0.0,0,1.0,0.72495,low_precision,1,0.08445981,True
public_low_jump,ocp_007,Openclipart,sitting_cat,low_jump,mask_fill_edgewalk_nearestrow_rows16_p40,-15.0779435,0.04,0.036,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_rows16_p40,1.0,4.0,0.0,,0.0445497,excellent,0.0445497,4,0,0.4955,0,1.0,0.874258,,0,0.0834147,False
public_low_jump,ocp_008,Openclipart,fish,low_jump,mask_fill_edgewalk_nearestrow_rows16_p40,-13.18340577,0.03590946,0.05231851,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_rows16_p40,1.0,4.0,0.0,,0.04416606,excellent,0.04416606,4,0,0.4955,0,1.0,0.807752,,0,0.08303106,False
public_low_jump,omj_010,OpenMoji,seedling,low_jump,mask_fill_edgewalk_nearestrow_safeadt_t2m5_r055_a64_rows16_p40,-8.32254083,0.32292517,0.31370957,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_safeadt_t2m5_r055_a64_rows16_p40,0.999349,5.0,0.0,,0.04749282,excellent,0.04749282,5,1,0.0,0,0.999349,0.751958,,0,0.08149282,False
public_low_jump,ocp_003,Openclipart,cat,low_jump,mask_fill_edgewalk_nearestrow_inset2_rows16_p40,-26.42073536,0.0085954,0.00773586,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_inset2_rows16_p40,0.995802,4.0,0.0,,0.03313396,excellent,0.03313396,4,0,0.0,0,0.995802,0.933175,,0,0.05713396,False
public_low_jump,ocp_005,Openclipart,public_domain_logo,low_jump,mask_fill_edgewalk_nearestrow_inset2_rows16_p40,-27.96905257,0.52862549,0.47576294,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_inset2_rows16_p40,1.0,4.0,0.0,,0.03311236,excellent,0.03311236,4,0,0.0,0,1.0,0.964093,,0,0.05711236,False
public_low_jump,txt_003,Rendered text,WKU,low_jump,mask_fill_edgewalk_nearestrow_inset2_rows16_p40,-18.52422761,0.011276,0.0101484,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_inset2_rows16_p40,0.996639,4.0,0.0,,0.03293545,excellent,0.03293545,4,0,0.0,0,0.996639,0.759544,,0,0.05693545,False
public_low_jump,ocp_009,Openclipart,flower_2,low_jump,mask_fill_edgewalk_nearestrow_inset1_rows16_p40,-17.92666315,0.01470287,0.01323258,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_inset1_rows16_p40,0.99727,3.0,0.0,,0.02474275,excellent,0.02474275,3,0,0.0,0,0.99727,0.765745,,0,0.04274275,False
public_low_jump,omj_002,OpenMoji,star,low_jump,mask_fill_edgewalk_nearestrow_inset1_rows16_p40,-21.96691487,0.10763898,0.09687508,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_inset1_rows16_p40,0.999481,3.0,0.0,,0.02469779,excellent,0.02469779,3,0,0.0,0,0.999481,0.897558,,0,0.04269779,False
public_low_jump,omj_006,OpenMoji,cherry_blossom,low_jump,mask_fill_edgewalk_nearestrow_inset2_rows16_p40,-26.5548125,0.009513,0.0085617,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_inset2_rows16_p40,0.992683,3.0,0.0,,0.0246882,excellent,0.0246882,3,0,0.0,0,0.992683,0.916022,,0,0.0426882,False
