rank,lr,weight_decay,epochs,seed,accuracy,mean_train_pair_accuracy,mean_unified_loss,mean_hard_score,mean_jump_count,mean_trim_count,mean_off_mask_stitch_length_mm,mean_visible_connector_count
250,0.03,0.001,300,2,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
251,0.03,0.001,300,5,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
252,0.03,0.001,600,1,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
253,0.03,0.001,600,2,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
254,0.03,0.001,1000,1,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
255,0.03,0.001,1000,2,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
256,0.03,0.01,300,1,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
257,0.03,0.01,300,2,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
258,0.03,0.01,300,5,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
259,0.03,0.01,600,1,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
260,0.03,0.01,600,2,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
