rank,hidden_dim,lr,weight_decay,epochs,seed,mean_config_mse
329,4,0.03,0.0,800,5,138.082041
330,4,0.03,0.001,800,3,139.42588552
331,4,0.01,0.001,800,2,139.44134633
332,16,0.01,0.01,800,3,139.54021526
333,32,0.05,0.0001,800,5,139.57878961
334,4,0.05,0.0001,800,3,139.79244437
335,4,0.005,0.01,800,2,139.89956096
336,32,0.03,0.0001,800,5,140.21090369
337,4,0.01,0.0001,800,2,140.3445719
338,4,0.05,0.0,800,3,140.35439395
339,4,0.01,0.0,800,2,140.44574958
340,32,0.05,0.0,800,5,140.54537156
341,4,0.005,0.01,800,5,140.77376287
342,32,0.03,0.0,800,5,141.06235943
343,4,0.03,0.0001,800,3,141.98503048
344,4,0.03,0.0,800,3,142.25881294
345,32,0.005,0.001,800,5,142.69859225
346,32,0.005,0.0001,800,5,143.40958588
347,32,0.005,0.0,800,5,143.48886269
348,4,0.01,0.001,800,5,143.86485967
349,4,0.005,0.001,800,2,144.22809899
350,4,0.005,0.0001,800,2,144.67720466
351,4,0.005,0.0,800,2,144.72729254
352,4,0.01,0.0001,800,5,144.95527867
353,4,0.01,0.0,800,5,145.07752911
354,4,0.005,0.001,800,5,145.91338625
355,4,0.005,0.0001,800,5,146.45107719
356,4,0.005,0.0,800,5,146.51109416
357,16,0.01,0.001,800,3,147.62185524
358,16,0.01,0.0001,800,3,148.48320288
359,16,0.01,0.0,800,3,148.57954492
360,32,0.01,0.01,800,3,152.73488367
361,4,0.01,0.001,800,13,152.8907499
362,4,0.01,0.0001,800,13,154.85551124
363,4,0.01,0.0,800,13,155.07561171
364,16,0.005,0.01,800,3,156.18781716
365,16,0.005,0.001,800,3,161.20600612
366,16,0.005,0.0001,800,3,161.72455078
367,16,0.005,0.0,800,3,161.78235996
368,32,0.05,0.001,800,3,162.42746601
369,32,0.005,0.01,800,3,162.87055706
370,32,0.03,0.001,800,3,166.92625832
371,32,0.01,0.001,800,3,170.31774983
372,32,0.005,0.001,800,3,171.80490813
373,32,0.05,0.0001,800,3,172.09085665
374,32,0.01,0.0001,800,3,172.23247225
375,32,0.01,0.0,800,3,172.44711903
376,32,0.005,0.0001,800,3,172.73693466
377,32,0.03,0.0001,800,3,172.82792059
378,32,0.005,0.0,800,3,172.84094274
379,32,0.05,0.0,800,3,173.2139289
380,32,0.03,0.0,800,3,173.50175928
381,4,0.005,0.01,800,13,174.19631111
382,4,0.005,0.001,800,13,183.97258287
383,4,0.005,0.0001,800,13,184.98921779
384,4,0.005,0.0,800,13,185.102625
